ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
20764,HW111381,01/10/2013 01:06:00 AM,001XX S SPRINGFIELD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,1122,011,28,26,01A,1150411,1899208,2013,03/18/2019 04:08:09 PM,41.879328725,-87.723179151,"(41.879328725, -87.723179151)"
20765,HW112372,01/10/2013 10:15:00 PM,020XX E 71ST ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0333,003,5,43,01A,1191191,1858266,2013,03/19/2019 04:11:22 PM,41.766088572,-87.574770965,"(41.766088572, -87.574770965)"
20766,HW112637,01/10/2013 09:19:00 PM,063XX S HONORE ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0726,007,15,67,01A,1165101,1862626,2013,03/19/2019 04:11:22 PM,41.778644591,-87.670276573,"(41.778644591, -87.670276573)"
20767,HW112875,01/11/2013 07:12:00 AM,004XX S PULASKI RD,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1132,011,24,26,01A,1149796,1897641,2013,03/19/2019 04:11:22 PM,41.875040676,-87.725478099,"(41.875040676, -87.725478099)"
20768,HW113783,01/11/2013 06:41:00 PM,026XX S RIDGEWAY AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1031,010,22,30,01A,1151797,1886181,2013,03/19/2019 04:11:22 PM,41.84355397,-87.718432537,"(41.84355397, -87.718432537)"
20769,HW114144,01/11/2013 11:50:00 PM,024XX W AUGUSTA BLVD,0110,HOMICIDE,FIRST DEGREE MURDER,HALLWAY,false,false,1212,012,1,24,01A,1159908,1906579,2013,03/19/2019 04:11:22 PM,41.899364823,-87.6881041,"(41.899364823, -87.6881041)"
20770,HW115382,01/13/2013 02:49:00 AM,013XX S HARDING AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,1011,010,24,29,01A,1150260,1893552,2013,03/19/2019 04:11:22 PM,41.863810959,-87.723881057,"(41.863810959, -87.723881057)"
20771,HW116450,01/14/2013 05:03:00 AM,052XX W JACKSON BLVD,0110,HOMICIDE,FIRST DEGREE MURDER,GAS STATION DRIVE/PROP.,false,false,1522,015,29,25,01A,1141592,1898171,2013,03/19/2019 04:11:22 PM,41.876650547,-87.755587101,"(41.876650547, -87.755587101)"
20772,HW117848,01/15/2013 01:42:00 PM,013XX S CHRISTIANA AVE,0110,HOMICIDE,FIRST DEGREE MURDER,VACANT LOT,false,false,1021,010,24,29,01A,1154245,1893619,2013,03/19/2019 04:11:22 PM,41.863916253,-87.709250452,"(41.863916253, -87.709250452)"
20773,HW100449,01/09/2013 09:15:00 AM,029XX W 40TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0921,009,14,58,01A,1157340,1877972,2013,03/19/2019 04:11:22 PM,41.820916786,-87.698313499,"(41.820916786, -87.698313499)"
20775,HW120241,01/17/2013 05:58:00 AM,048XX N KENNETH AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,true,1712,017,39,14,01A,1145819,1931947,2013,03/19/2019 04:11:22 PM,41.969256062,-87.739207483,"(41.969256062, -87.739207483)"
20776,HW121212,01/17/2013 05:57:00 PM,047XX W BELMONT AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1731,017,30,15,01A,1144016,1920849,2013,03/19/2019 04:11:22 PM,41.938836316,-87.746116798,"(41.938836316, -87.746116798)"
20777,HW122808,01/18/2013 09:15:00 PM,055XX W NORTH AVE,0110,HOMICIDE,FIRST DEGREE MURDER,RESTAURANT,false,false,2532,025,37,25,01A,1139466,1910094,2013,03/19/2019 04:11:22 PM,41.909407737,-87.76310227,"(41.909407737, -87.76310227)"
20778,HW122833,01/18/2013 09:31:00 PM,054XX S LAFLIN ST,0110,HOMICIDE,FIRST DEGREE MURDER,GANGWAY,false,false,0934,009,16,61,01A,1167259,1868725,2013,03/18/2019 04:08:09 PM,41.795335057,-87.66219065,"(41.795335057, -87.66219065)"
